"id","subject","journal","author","author_affiliate","author_notes"
"10.1371/journal.pone.0126362","/Research and analysis methods/Imaging techniques/Diagnostic radiology/Tomography; /Research and analysis methods/Imaging techniques/Diagnostic radiology/Magnetic resonance imaging/Functional magnetic resonance imaging; /Medicine and health sciences/Radiology and imaging/Diagnostic radiology/Tomography; /Research and analysis methods/Imaging techniques/Neuroimaging/Functional magnetic resonance imaging; /Biology and life sciences/Anatomy/Ocular system/Eyes; /Biology and life sciences/Anatomy/Ocular system/Ocular anatomy; /Biology and life sciences/Behavior/Animal behavior/Animal signaling and communication; /Medicine and health sciences/Diagnostic medicine/Diagnostic radiology/Tomography; /Biology and life sciences/Anatomy/Brain/Visual cortex; /Medicine and health sciences/Anatomy/Ocular system/Ocular anatomy; /Medicine and health sciences/Ophthalmology/Eye diseases/Glaucoma; /Medicine and health sciences/Radiology and imaging/Diagnostic radiology/Magnetic resonance imaging/Functional magnetic resonance imaging; /Medicine and health sciences/Anatomy/Ocular system/Eyes; /Medicine and health sciences/Anatomy/Head/Eyes; /Biology and life sciences/Zoology/Animal behavior/Animal signaling and communication; /Medicine and health sciences/Diagnostic medicine/Diagnostic radiology/Magnetic resonance imaging/Functional magnetic resonance imaging; /Biology and life sciences/Neuroscience/Neuroimaging/Functional magnetic resonance imaging; /Biology and life sciences/Anatomy/Head/Eyes; /Medicine and health sciences/Ophthalmology/Eye diseases; /Medicine and health sciences/Anatomy/Brain/Visual cortex; /Biology and life sciences/Neuroscience/Brain mapping/Functional magnetic resonance imaging","PLOS ONE","Vanessa M Gerente; Ruth R Schor; Khallil T Chaim; Marcelo de Maria Felix; Dora F Ventura; Sergio H Teixeira; Claudio L Lottenberg; Edson Amaro; Augusto Paranhos","Ophthalmology Department, Federal University of São Paulo, São Paulo, Brazil; Hospital Israelita Albert Einstein, São Paulo, Brazil; Experimental Psychology Department, Institute of Psychology, University of São Paulo, São Paulo, Brazil","Conceived and designed the experiments: MMF CLL EA AP. Performed the experiments: VMG RRS KTC AP EA. Analyzed the data: VMG SHT AP. Contributed reagents/materials/analysis tools: EA MMF. Wrote the paper: VMG DFV AP EA."
"10.1371/journal.pone.0003284","/Biology and life sciences/Genetics/Genomics/Genome analysis/Genetic networks; /Biology and life sciences/Organisms/Fungi/Yeast/Saccharomyces/Saccharomyces cerevisiae; /Computer and information sciences/Network analysis/Protein interaction networks; /Biology and life sciences/Molecular biology/Molecular biology techniques/Gene mapping; /Computer and information sciences/Network analysis/Genetic networks; /Physical sciences/Mathematics/Approximation methods; /Biology and life sciences/Genetics/Phenotypes; /Biology and life sciences/Biochemistry/Proteomics/Protein interaction networks; /Biology and life sciences/Genetics/Gene identification and analysis/Genetic interactions; /Research and analysis methods/Model organisms/Yeast and fungal models/Saccharomyces cerevisiae; /Biology and life sciences/Genetics/Gene identification and analysis/Genetic screens; /Biology and life sciences/Computational biology/Genome analysis/Genetic networks; /Research and analysis methods/Molecular biology techniques/Gene mapping","PLoS ONE","Aki P Järvinen; Jukka Hiissa; Laura L Elo; Tero Aittokallio","Biomathematics Research Group, Department of Mathematics, University of Turku, Turku, Finland; Data Mining Research Group, Turku Centre for Biotechnology, Turku, Finland","Conceived and designed the experiments: APJ LLE TA. Performed the experiments: APJ TA. Analyzed the data: APJ JH. Wrote the paper: APJ JH LLE TA."
"10.1371/journal.pone.0103861","/Medicine and health sciences/Anatomy/Endocrine system/Adrenal cortex; /Research and analysis methods/Specimen preparation and treatment/Staining/Cell staining; /Medicine and health sciences/Anatomy/Endocrine system/Adrenal glands; /Biology and life sciences/Anatomy/Endocrine system/Adrenal cortex; /Biology and life sciences/Cell biology/Signal transduction/Transmembrane receptors/Acetylcholine receptors/Nicotinic acetylcholine receptors; /Biology and life sciences/Cell biology/Cellular types/Animal cells/Chromaffin cells; /Biology and life sciences/Anatomy/Endocrine system/Adrenal glands; /Biology and life sciences/Immunology/Immune system proteins/Antibodies; /Medicine and health sciences/Physiology/Immune physiology/Antibodies; /Research and analysis methods/Specimen preparation and treatment/Staining/Immunostaining; /Biology and life sciences/Physiology/Immune physiology/Antibodies; /Medicine and health sciences/Immunology/Immune system proteins/Antibodies; /Biology and life sciences/Biochemistry/Proteins/Transmembrane receptors/Acetylcholine receptors/Nicotinic acetylcholine receptors; /Biology and life sciences/Developmental biology/Embryology/Embryos; /Biology and life sciences/Biochemistry/Proteins/Immune system proteins/Antibodies","PLoS ONE","Lorise C Gahring; Elizabeth Myers; Sierra Palumbos; Scott W Rogers","Salt Lake City VA Geriatric Research, Education and Clinical Center, Salt Lake City, Utah, United States of America; Department of Internal Medicine, Division of Geriatrics, University of Utah, Salt Lake City, Utah, United States of America; Department of Neurobiology and Anatomy, University of Utah, Salt Lake City, Utah, United States of America","Conceived and designed the experiments: SWR LCG. Performed the experiments: SP EJM. Analyzed the data: SWR EJM LCG. Contributed reagents/materials/analysis tools: SWR SP EJM LCG. Wrote the paper: SWR LCG."
"10.1371/journal.pone.0113604","/Biology and life sciences/Microbiology/Virology/Viral replication; /Medicine and health sciences/Pathology and laboratory medicine/Pathogens/Microbial pathogens/Viral pathogens/Orthomyxoviruses/Influenza viruses/Influenza A virus/H1N1; /Biology and life sciences/Microbiology/Medical microbiology/Microbial pathogens/Viral pathogens/Orthomyxoviruses/Influenza viruses/Influenza A virus/H1N1; /Medicine and health sciences/Pathology and laboratory medicine/Pathogens/Microbial pathogens/Viral pathogens/Orthomyxoviruses/Influenza viruses; /Biology and life sciences/Microbiology/Medical microbiology/Microbial pathogens/Viral pathogens/Orthomyxoviruses/Influenza viruses; /Biology and life sciences/Organisms/Viruses/Viral pathogens/Orthomyxoviruses/Influenza viruses; /Biology and life sciences/Organisms/Viruses/Viral pathogens/Orthomyxoviruses/Influenza viruses/Influenza A virus/H1N1; /Research and analysis methods/Extraction techniques/RNA extraction; /Medicine and health sciences/Pulmonology/Respiratory infections; /Biology and life sciences/Organisms/Viruses/RNA viruses/Orthomyxoviruses/Influenza viruses; /Biology and life sciences/Microbiology/Medical microbiology/Microbial pathogens/Viral pathogens/Orthomyxoviruses/Influenza viruses/Influenza A virus; /Research and analysis methods/Model organisms/Animal models/Mouse models; /Medicine and health sciences/Pathology and laboratory medicine/Pathogens/Microbial pathogens/Viral pathogens/Orthomyxoviruses/Influenza viruses/Influenza A virus; /Biology and life sciences/Organisms/Viruses/RNA viruses/Orthomyxoviruses/Influenza viruses/Influenza A virus/H1N1; /Biology and life sciences/Organisms/Viruses/RNA viruses/Orthomyxoviruses/Influenza viruses/Influenza A virus; /Medicine and health sciences/Infectious diseases/Infectious disease control; /Biology and life sciences/Organisms/Viruses/Viral pathogens/Orthomyxoviruses/Influenza viruses/Influenza A virus","PLoS ONE","Li Gao; Yipeng Sun; Jianyong Si; Jinhua Liu; Guibo Sun; Xiaobo Sun; Li Cao","Institute of Medicinal Plant Development, Chinese Academy of Medical Sciences and Peking Union Medical College, Beijing, China; Key Laboratory of Animal Epidemiology and Zoonosis, Ministry of Agriculture, College of Veterinary Medicine, China Agricultural University, Beijing, China","Conceived and designed the experiments: LG YS LC. Performed the experiments: LG YS. Analyzed the data: LG LC. Contributed reagents/materials/analysis tools: JL GS XS JS. Wrote the paper: LG LC."
"10.1371/journal.pone.0113516","/Biology and life sciences/Genetics/Epigenetics/Chromatin/Nucleosomes; /Biology and life sciences/Genetics/Gene expression/Chromatin; /Biology and life sciences/Cell biology/Chromosome biology/Chromosomes/Chromosome structure and function/Telomeres; /Biology and life sciences/Genetics/Gene expression/Chromatin/Nucleosomes; /Biology and life sciences/Genetics/Epigenetics; /Biology and life sciences/Genetics/Gene expression; /Biology and life sciences/Organisms/Fungi/Yeast/Saccharomyces/Saccharomyces cerevisiae; /Physical sciences/Mathematics/Systems science/Nonlinear systems; /Research and analysis methods/Model organisms/Yeast and fungal models/Saccharomyces cerevisiae; /Biology and life sciences/Cell biology/Chromosome biology/Chromatin/Nucleosomes; /Biology and life sciences/Biochemistry/Proteins/DNA-binding proteins/Histones; /Biology and life sciences/Cell biology/Chromosome biology/Chromatin; /Computer and information sciences/Systems science/Nonlinear systems; /Biology and life sciences/Genetics/Epigenetics/Chromatin","PLoS ONE","Vijayalakshmi H Nagaraj; Swagatam Mukhopadhyay; Adel Dayarian; Anirvan M Sengupta","BioMaPS Institute, Rutgers University, Piscataway, NJ, United States of America; Cold Spring Harbor Laboratory, Cold Spring Harbor, NY, United States of America; Kavli Institute for Theoretical Physics, University of California Santa Barbara, Santa Barbara, CA, United States of America; Department of Physics and Astronomy, Rutgers University, Piscataway, NJ, United States of America","Conceived and designed the experiments: VHN SM AD AMS. Performed the experiments: VHN. Analyzed the data: VHN SM AD AMS. Wrote the paper: VHN SM AD AMS."
"10.1371/journal.pone.0148108","/Physical sciences/Chemistry/Chemical reactions/Oxidation; /Physical sciences/Chemistry/Chemical compounds/Organic compounds/Amino acids/Sulfur containing amino acids/Methionine; /Physical sciences/Chemistry/Chemical elements/Oxygen; /Biology and life sciences/Biochemistry/Enzymology/Enzymes/Proteases/Serine proteases; /Physical sciences/Chemistry/Chemical compounds/Organic compounds/Carbohydrates/Monosaccharides/Glucose; /Biology and life sciences/Biochemistry/Proteins/Enzymes/Proteases/Serine proteases; /Physical sciences/Chemistry/Chemical compounds/Oxides/Peroxides/Hydrogen peroxide; /Physical sciences/Chemistry/Organic chemistry/Organic compounds/Amino acids/Sulfur containing amino acids/Methionine; /Biology and life sciences/Biochemistry/Peptides; /Physical sciences/Chemistry/Organic chemistry/Organic compounds/Carbohydrates/Monosaccharides/Glucose; /Physical sciences/Chemistry/Chemical compounds/Phosphates; /Biology and life sciences/Biochemistry/Proteins/Amino acids/Sulfur containing amino acids/Methionine","PLOS ONE","Petr Halada; Dagmar Brugger; Jindrich Volc; Clemens K Peterbauer; Christian Leitner; Dietmar Haltrich","Institute of Microbiology of the ASCR, v.v.i., Vídeňská 1083, Prague, Czech Republic; Food Biotechnology Laboratory, BOKU—University of Natural Resources and Life Sciences Vienna, Vienna, Austria; Doctoral Programme BioToP–Molecular Biotechnology of Proteins, BOKU—University of Natural Resources and Life Sciences Vienna, Vienna, Austria","Conceived and designed the experiments: CKP JV PH DH. Performed the experiments: CL DB PH. Analyzed the data: DB JV PH. Contributed reagents/materials/analysis tools: DB PH. Wrote the paper: CKP DH JV PH."
"10.1371/journal.pone.0135708","/Biology and life sciences/Anatomy/Body fluids/Saliva; /Biology and life sciences/Physiology/Physiological processes/Secretion; /Medicine and health sciences/Mental health and psychiatry/Psychological stress; /Biology and life sciences/Physiology/Body fluids/Saliva; /Biology and life sciences/Biochemistry/Hormones/Steroid hormones/Hydrocortisone; /Medicine and health sciences/Physiology/Physiological processes/Secretion; /Research and analysis methods/Mathematical and statistical techniques/Statistical methods/Regression analysis; /Medicine and health sciences/Mental health and psychiatry; /Medicine and health sciences/Anatomy/Body fluids/Saliva; /Social sciences/Psychology/Psychological stress; /Biology and life sciences/Biochemistry/Hormones/Lipid hormones/Hydrocortisone; /Physical sciences/Mathematics/Statistics (mathematics)/Statistical methods/Regression analysis; /Medicine and health sciences/Physiology/Body fluids/Saliva; /Biology and life sciences/Psychology/Psychological stress; /People and places/Demography; /Medicine and health sciences/Oncology/Cancer detection and diagnosis","PLOS ONE","Moniek Janse; Martijn van Faassen; Ido Kema; Ans Smink; Adelita V Ranchor; Joke Fleer; Mirjam A G Sprangers","Department of Health Psychology, University of Groningen, University Medical Center Groningen, Groningen, The Netherlands; Department of Laboratory Medicine, University of Groningen, University Medical Center Groningen, Groningen, The Netherlands; Department of Medical Psychology, University of Amsterdam, Academic Medical Center Amsterdam, Amsterdam, The Netherlands","Analyzed the data: MJ MF. Wrote the paper: MJ MF MAGS AVR JF IK. Data collection: AS."
"10.1371/journal.pone.0124025","/Medicine and health sciences/Surgical and invasive medical procedures/Cardiovascular procedures/Vascular surgery; /Biology and life sciences/Anatomy/Cardiovascular anatomy/Endothelium; /Medicine and health sciences/Critical care and emergency medicine/Trauma medicine/Reperfusion injury; /Medicine and health sciences/Vascular medicine/Ischemia; /Medicine and health sciences/Anatomy/Biological tissue/Epithelium/Epithelial cells/Endothelial cells; /Medicine and health sciences/Anatomy/Cardiovascular anatomy/Endothelium; /Biology and life sciences/Genetics/Gene expression; /Biology and life sciences/Anatomy/Biological tissue/Epithelium/Epithelial cells/Endothelial cells; /Physical sciences/Chemistry/Chemical compounds/Salts/Hypochlorites; /Biology and life sciences/Cell biology/Cellular types/Animal cells/Epithelial cells/Endothelial cells; /Medicine and health sciences/Critical care and emergency medicine/Reperfusion","PLOS ONE","Gábor Veres; Péter Hegedűs; Enikő Barnucz; Raphael Zöller; Stephanie Klein; Harald Schmidt; Tamás Radovits; Sevil Korkmaz; Matthias Karck; Gábor Szabó","Department of Cardiac Surgery, University of Heidelberg, Heidelberg, Germany; Heart Center, Semmelweis University, Budapest, Hungary","Conceived and designed the experiments: GV PH EB RZ S. Klein HS TR S. Korkmaz MK GS. Performed the experiments: GV PH EB RZ S. Klein HS TR S. Korkmaz GS. Analyzed the data: GV PH EB RZ S. Klein HS TR S. Korkmaz MK GS. Contributed reagents/materials/analysis tools: GV PH EB RZ S. Klein TR S. Korkmaz MK GS. Wrote the paper: GV PH TR S. Korkmaz MK GS."
"10.1371/journal.pone.0113675","/Ecology and environmental sciences/Ecology/Ecological metrics/Biomass (ecology); /Biology and life sciences/Zoology/Animal behavior/Grazing; /Biology and life sciences/Organisms/Plants/Algae; /Physical sciences/Materials science/Materials by attribute/Pigments/Organic pigments/Chlorophyll; /Biology and life sciences/Nutrition/Nutrients; /Ecology and environmental sciences/Ecology/Ecosystems/Forests; /Biology and life sciences/Ecology/Ecological metrics/Biomass (ecology); /Biology and life sciences/Plant science/Plant cell biology/Plant cells/Chloroplasts/Chlorophyll; /Biology and life sciences/Plant science/Plant cell biology/Chloroplasts/Chlorophyll; /Biology and life sciences/Organisms/Animals/Invertebrates/Plankton/Phytoplankton/Diatoms; /Biology and life sciences/Cell biology/Cellular structures and organelles/Chloroplasts/Chlorophyll; /Physical sciences/Physics/Energy transfer; /Biology and life sciences/Behavior/Animal behavior/Grazing; /Biology and life sciences/Ecology/Ecosystems/Forests; /Medicine and health sciences/Nutrition/Nutrients; /Biology and life sciences/Organisms/Plants/Algae/Phytoplankton/Diatoms; /Biology and life sciences/Cell biology/Plant cell biology/Plant cells/Chloroplasts/Chlorophyll; /Biology and life sciences/Cell biology/Cellular types/Plant cells/Chloroplasts/Chlorophyll; /Ecology and environmental sciences/Terrestrial environments/Forests; /Biology and life sciences/Cell biology/Plant cell biology/Chloroplasts/Chlorophyll","PLoS ONE","Jūratė Lesutienė; Elena Gorokhova; Daiva Stankevičienė; Eva Bergman; Larry Greenberg","Marine Science and Technology Center, Klaipėda University, Klaipėda, Lithuania; Department of Biology, Karlstad University, Karlstad, Sweden; Department of Applied Environmental Sciences, Stockholm University, Stockholm, Sweden; Institute of Ecology, Nature Research Centre, Vilnius, Lithuania","Conceived and designed the experiments: JL EG LG EB. Performed the experiments: JL. Analyzed the data: JL EG DS. Contributed reagents/materials/analysis tools: JL EG DS LG. Contributed to the writing of the manuscript: JL EG LG EB."
"10.1371/journal.pone.0102819","/Social sciences/Psychology/Sensory perception/Vision; /Biology and life sciences/Neuroscience/Learning and memory/Memory/Object recognition; /Biology and life sciences/Neuroscience/Cognitive science/Cognitive psychology/Perception/Object recognition; /Biology and life sciences/Sports science/Sports; /Physical sciences/Physics/Electromagnetic radiation/Microwave radiation; /Social sciences/Psychology/Sensory perception; /Biology and life sciences/Psychology/Sensory perception/Vision; /Research and analysis methods/Research design/Experimental design; /Biology and life sciences/Behavior/Recreation/Sports; /Biology and life sciences/Neuroscience/Sensory perception/Vision; /Social sciences/Sociology/Education/Schools/Colleges; /People and places/Population groupings/Educational status/Undergraduates; /Biology and life sciences/Psychology/Sensory perception; /Biology and life sciences/Neuroscience/Cognitive science/Cognition/Memory/Object recognition; /Biology and life sciences/Neuroscience/Sensory perception; /Social sciences/Psychology/Cognitive psychology/Perception/Object recognition; /Biology and life sciences/Psychology/Cognitive psychology/Perception/Object recognition","PLoS ONE","Christopher R Gagne; Sean P MacEvoy","Department of Psychology, Boston College, Chestnut Hill, Massachusetts, United States of America","Conceived and designed the experiments: CRG SPM. Performed the experiments: CRG. Analyzed the data: CRG. Wrote the paper: CRG SPM."
