"id","journal","publication_date","author","author_affiliate","author_notes","competing_interest"
"10.1371/journal.pone.0014667","plos one","2011-02-08T00:00:00Z","Takefumi Nakazawa","Center for Ecological Research, Kyoto University, Otsu, Japan; Institute of Oceanography, National Taiwan University, Taipei, Taiwan","Conceived and designed the experiments: TN. Performed the experiments: TN. Analyzed the data: TN. Contributed reagents/materials/analysis tools: TN. Wrote the paper: TN.","The author has declared that no competing interests exist."
"10.1371/journal.pone.0014656","plos one","2011-02-04T00:00:00Z","Hirotada Akiyama; Takuma Misawa; Masao Ono; Chiyoko Uchida; Takafumi Uchida","Molecular Enzymology, Department of Molecular Cell Science, Graduate School of Agricultural Science, Tohoku University, Sendai, Japan; Department of Pathology, Graduate School of Medicine, Tohoku University, Sendai, Miyagi, Japan; Center for Interdisciplinary Research, Tohoku University, Sendai, Japan","Conceived and designed the experiments: HA TU. Performed the experiments: HA TM MO TU. Analyzed the data: HA TM MO CU TU. Contributed reagents/materials/analysis tools: HA TM CU TU. Wrote the paper: TM CU TU.","The authors have declared that no competing interests exist."
"10.1371/journal.pone.0014677","plos one","2011-02-14T00:00:00Z","Robert W Mathes; Kazuhiko Ito; Thomas Matte","Bureau of Environmental Surveillance and Policy, New York City Department of Health and Mental Hygiene, New York, New York, United States of America; Environmental Medicine, New York University School of Medicine, Tuxedo, New York, United States of America; Hunter College, City University of New York School of Public Health, New York, New York, United States of America","Conceived and designed the experiments: RWM KI TDM. Analyzed the data: RWM KI TDM. Wrote the paper: RWM KI TDM.","The authors have declared that no competing interests exist."
"10.1371/journal.pone.0015258","plos one","2010-12-20T00:00:00Z","Pankaj Kumar Giri; Xuhua Tang; Saravanan Thangamani; Rajesh T Shenoy; Jeak Ling Ding; Kunchithapadam Swaminathan; J Sivaraman","Department of Biological Sciences, National University of Singapore, Singapore, Singapore","Conceived and designed the experiments: JS JLD KS. Performed the experiments: PKG XT RTS ST. Analyzed the data: JS PKG RTS XT ST. Contributed reagents/materials/analysis tools: JS JLD KS. Wrote the paper: JS PKG XT JLD KS.","The authors have declared that no competing interests exist."
"10.1371/journal.pone.0015131","plos one","2010-12-10T00:00:00Z","Andrew Y Koh; Per J Mikkelsen; Roger S Smith; Kathleen T Coggshall; Akinobu Kamei; Michael Givskov; Stephen Lory; Gerald B Pier","Department of Pediatrics, University of Texas Southwestern Medical Center, Dallas, Texas, United States of America; Department of Hematology/Oncology, University of Texas Southwestern Medical Center, Dallas, Texas, United States of America; Department of Infectious Diseases, University of Texas Southwestern Medical Center, Dallas, Texas, United States of America; Department of Microbiology, University of Texas Southwestern Medical Center, Dallas, Texas, United States of America; Department of International Health, Immunology and Microbiology, University of Copenhagen, Copenhagen, Denmark; The Broad Institute of MIT and Harvard, Cambridge, Massachusetts, United States of America; University of California San Francisco School of Medicine, San Francisco, California, United States of America; Channing Laboratory, Department of Medicine, Brigham and Women's Hospital, Harvard Medical School, Boston, Massachusetts, United States of America; Department of Microbiology and Molecular Genetics, Harvard Medical School, Boston, Massachusetts, United States of America","Conceived and designed the experiments: AYK PJM MG SL GBP. Performed the experiments: AYK PJM RSS AK KTC. Analyzed the data: AYK PJM RSS AK KTC GBP. Contributed reagents/materials/analysis tools: AYK PJM MG SL GBP. Wrote the paper: AYK PJM GBP.","The authors have declared that no competing interests exist."
"10.1371/journal.pone.0060453","plos one","2013-04-02T00:00:00Z","Yoshiko Fukuyama; Daisuke Tokuhara; Shinichi Sekine; Kazuyoshi Aso; Kosuke Kataoka; Julia Davydova; Masato Yamamoto; Rebekah S Gilbert; Yuka Tokuhara; Keiko Fujihashi; Jun Kunisawa; Yoshikazu Yuki; Hiroshi Kiyono; Jerry R McGhee; Kohtaro Fujihashi","Departments of Pediatric Dentistry and Microbiology, The Immunobiology Vaccine Center, The Institute of Oral Health Research, The University of Alabama at Birmingham, Birmingham, Alabama, United States of America; Division of Mucosal Immunology, Institute of Medical Science, University of Tokyo, Tokyo, Japan; Department of Preventive Dentistry, Graduate School of Dentistry, Osaka University, Osaka, Japan; Department of Preventive Dentistry, Institute of Health Biosciences, The University of Tokushima Graduate School, Tokushima, Japan; Department of Surgery, University of Minnesota, Minneapolis, Minnesota, United States of America; Laboratory of Vaccine Materials, National Institute of Biomedical Innovation, Osaka, Japan","Conceived and designed the experiments: YF SS KK JK YY HK JRM Kohtaro Fujihashi. Performed the experiments: YF DT KA RSG YT Keiko Fujihashi. Analyzed the data: YF DT KA RSG YT Keiko Fujihashi Kohtaro Fujihashi. Contributed reagents/materials/analysis tools: JD MY. Wrote the paper: YF JRM Kohtaro Fujihashi.","The authors have declared that no competing interests exist."
"10.1371/journal.pone.0037722","plos one","2012-05-24T00:00:00Z","Aude Remot; Xavier Roux; Catherine Dubuquoy; Jenna Fix; Stephan Bouet; Mohammed Moudjou; Jean-François Eléouët; Sabine Riffault; Agnès Petit-Camurdan","Molecular Virology and Immunology (UR892), French National Institute for Agricultural Research, Jouy-en-Josas, France; Animal Genetics and Integrative Biology (UMR1313), French National Institute for Agricultural Research, Jouy-en-Josas, France","Conceived and designed the experiments: AR XR JFE SR APC. Performed the experiments: AR XR CD JF SB MM APC. Analyzed the data: AR XR SB SR APC. Contributed reagents/materials/analysis tools: JF SB MM JFE. Wrote the paper: AR XR SR APC.","The authors have declared that no competing interests exist."
"10.1371/journal.pone.0012562","plos one","2010-09-07T00:00:00Z","Gwendolyn L Gilbert; Michelle A Cretikos; Linda Hueston; George Doukas; Brian O'Toole; Dominic E Dwyer","Centre for Infectious Diseases and Microbiology, Institute of Clinical Pathology and Medical Research, The University of Sydney, Sydney, New South Wales, Australia; Centre for Epidemiology and Research, New South Wales Department of Health, North Sydney, New South Wales, Australia; School of Public Health, The University of Sydney, North Sydney, New South Wales, Australia","Conceived and designed the experiments: GLG MAC LH BO DED. Performed the experiments: LH. Analyzed the data: GLG MAC GD BO DED. Contributed reagents/materials/analysis tools: LH. Wrote the paper: GLG MAC GD DED.","Michelle Cretikos is employed by the NSW Department of Health, which funded the study. She owns shares in CSL Ltd, which manufactures influenza vaccines. None of the other authors have any conflicts of interest."
"10.1371/journal.pone.0026318","plos one","2011-10-12T00:00:00Z","Rudi L Verspoor; Penelope R Haddrill","Institute of Evolutionary Biology, School of Biological Sciences, University of Edinburgh, Edinburgh, United Kingdom","Conceived and designed the experiments: PRH. Performed the experiments: RLV PRH. Analyzed the data: PRH. Contributed reagents/materials/analysis tools: PRH. Wrote the paper: RLV PRH.","The authors have declared that no competing interests exist."
"10.1371/journal.pone.0059345","plos one","2013-03-25T00:00:00Z","Han-En Tsai; Jian-Ching Wu; Mei-Lang Kung; Li-Feng Liu; Lai-Hsin Kuo; Hsiao-Mei Kuo; San-Cher Chen; Elsa C Chan; Chieh-Shan Wu; Ming-Hong Tai; Guei-Sheung Liu","Institute of Biomedical Science, National Sun Yat-sen University, Kaohsiung, Taiwan; Doctoral Degree Program in Marine Biotechnology, National Sun Yat-sen University, Kaohsiung, Taiwan; Department of Chemistry and Center for Nanoscience and Nanotechnology, National Sun Yat-Sen University, Kaohsiung, Taiwan; Department of Biological Science and Technology, I-Shou University, Kaohsiung, Taiwan; Department of Internal Medicine, Chang Gung Memorial Hospital - Kaohsiung Medical Center, Chang Gung University College of Medicine, Kaohsiung, Taiwan; Center for Neuroscience, National Sun Yat-sen University, Kaohsiung, Taiwan; Division of Dermatology, Kaohsiung Veterans General Hospital, Kaohsiung, Taiwan; Centre for Eye Research Australia, University of Melbourne, Victoria, Australia; Department of Ophthalmology, University of Melbourne, Victoria, Australia","Conceived and designed the experiments: HET GSL MHT. Performed the experiments: HET JCW MLK LHK. Analyzed the data: HET GSL. Contributed reagents/materials/analysis tools: LFL SCC HMK CSW. Wrote the paper: HET ECC GSL MHT.","The authors have declared that no competing interests exist."
