"id","journal","publication_date","author","author_affiliate","author_notes","competing_interest"
"10.1371/journal.pone.0084864","plos one","2013-12-19T00:00:00Z","Jason H Stafford; Guiyang Hao; Anne M Best; Xiankai Sun; Philip E Thorpe","Department of Pharmacology, The Simmons Cancer Center, University of Texas Southwestern Medical Center, Dallas, Texas, United States of America; Department of Radiology, The Advanced Imaging Research Center, University of Texas Southwestern Medical Center, Dallas, Texas, United States of America","Conceived and designed the experiments: JHS GH XS PET. Performed the experiments: AMB. Analyzed the data: JHS GH XS PET. Contributed reagents/materials/analysis tools: JHS GH XS PET. Wrote the manuscript: JHS PET.","The authors have the following interests: This study was partly funded by a sponsored research agreement with Peregrine Pharmaceuticals Inc. There are no patents, products in development or marketed products to declare. This does not alter the authors’ adherence to all the PLOS ONE policies on sharing data and materials, as detailed in the online guide for authors."
"10.1371/journal.pone.0096053","plos one","2014-04-24T00:00:00Z","Callie A Norris; Mu He; Liang-I Kang; Michael Qi Ding; Josiah E Radder; Meagan M Haynes; Yu Yang; Shirish Paranjpe; William C Bowen; Anne Orr; George K Michalopoulos; Donna B Stolz; Wendy M Mars","Department of Pathology, University of Pittsburgh, School of Medicine, Pittsburgh, Pennsylvania, United States of America; Department of Cell Biology and Physiology, University of Pittsburgh, School of Medicine, Pittsburgh, Pennsylvania, United States of America","Conceived and designed the experiments: CAN MH L-IK JER GKM DBS WMM. Performed the experiments: CAN MH MQD MMH YY SP WCB AO DBS. Analyzed the data: CAN MH L-IK MQD DBS WMM. Contributed reagents/materials/analysis tools: GKM. Wrote the paper: CAN WMM.","The authors have declared that no competing interests exist."
"10.1371/journal.pone.0073359","plos one","2013-08-22T00:00:00Z","Elika Bergelson; Daniel Swingley","Department of Psychology, University of Pennsylvania, Philadelphia, Pennsylvania, United States of America; Institute for Research in Cognitive Science, University of Pennsylvania, Philadelphia, Pennsylvania, United States of America","Conceived and designed the experiments: EB DS. Performed the experiments: EB. Analyzed the data: EB. Wrote the paper: EB DS.","The authors have declared that no competing interests exist."
"10.1371/journal.pone.0118972","plos one","2015-03-16T00:00:00Z","Marcin Magierowski; Katarzyna Jasnos; Slawomir Kwiecien; Danuta Drozdowicz; Marcin Surmiak; Malgorzata Strzalka; Agata Ptak-Belowska; John L Wallace; Tomasz Brzozowski","Department of Physiology, Jagiellonian University Medical College, Cracow, Poland; Department of Physiology & Pharmacology, University of Calgary, Calgary, Canada","Conceived and designed the experiments: MM JLW TB. Performed the experiments: MM KJ DD M. Surmiak M. Strzalka SK. Analyzed the data: MM KJ M. Surmiak APB SK TB. Contributed reagents/materials/analysis tools: KJ M. Strzalka DD M. Surmiak APB. Wrote the paper: MM KJ JLW TB.","The authors have declared that no competing interests exist."
"10.1371/journal.pone.0004756","plos one","2009-03-09T00:00:00Z","Matthew E Gegg; J Mark Cooper; Anthony H V Schapira; Jan-Willem Taanman","Department of Clinical Neurosciences, Institute of Neurology, University College London, Queen Square, London, United Kingdom","Conceived and designed the experiments: MEG AHS JWT. Performed the experiments: MEG. Analyzed the data: MEG. Contributed reagents/materials/analysis tools: MEG JMC JWT. Wrote the paper: MEG.","The authors have declared that no competing interests exist."
"10.1371/journal.pone.0038898","plos one","2012-06-29T00:00:00Z","Edmond J Remarque; Meta Roestenberg; Sumera Younis; Vanessa Walraven; Nicole van der Werff; Bart W Faber; Odile Leroy; Robert Sauerwein; Clemens H M Kocken; Alan W Thomas","Biomedical Primate Research Centre, Rijswijk, The Netherlands; Radboud University Nijmegen Medical Centre, Nijmegen, The Netherlands; European Vaccine Initiative, Heidelberg, Germany","Conceived and designed the experiments: EJR MR OL RS AWT. Performed the experiments: MR SY VW NvdW BWF OL CHMK AWT. Analyzed the data: EJR MR SY VW NvdW BWF OL CHMK AWT. Wrote the paper: EJR MR BWF RS CHMK AWT.","Four of the authors (EJR, AWT, BWF and CHMK) are in the process of obtaining a patent for three synthetic Diversity-Covering (DiCo) PfAMA1 proteins. The authors wish to thank GlaxoSmithKline, Rixensart, Belgium, for supplying AS02 and SEPPIC, Paris, France, for supplying Montanide ISA 720. This does not alter their adherence to all the PLoS policies on sharing data and materials."
"10.1371/journal.pone.0142561","plos one","2015-11-10T00:00:00Z","HaiYang Wang; YiBo Luo; ZiLi Lin; In-Won Lee; Jeongwoo Kwon; Xiang-Shun Cui; Nam-Hyung Kim","Department of Animal Sciences, Chungbuk National University, Naesudong-ro, Seowon-gu, Cheongju-si, 362–763, Chungcheongbuk-do, Korea","Conceived and designed the experiments: NK. Performed the experiments: HW. Analyzed the data: HW YL JK ZL. Contributed reagents/materials/analysis tools: NK HW IL XC. Wrote the paper: HW NK.","The authors have declared that no competing interests exist."
"10.1371/journal.pone.0130820","plos one","2015-06-22T00:00:00Z","Jasmine Lim; Nirmala Bhoo-Pathy; Selvalingam Sothilingam; Rohan Malek; Murali Sundram; Guan Hee Tan; Badrulhisham Bahadzor; Teng Aik Ong; Keng Lim Ng; Azad Hassan Abdul Razack","Department of Surgery, Faculty of Medicine, University of Malaya, Kuala Lumpur, Malaysia; Julius Center University of Malaya, Department of Social and Preventive Medicine, Faculty of Medicine, University of Malaya, Kuala Lumpur, Malaysia; Primary Care, University Medical Center Utrecht, 3508GA, Utrecht, Netherlands; Department of Urology, Selayang Hospital, Selangor, Malaysia; Department of Urology, Kuala Lumpur Hospital, Kuala Lumpur, Malaysia; Department of Surgery, University Kebangsaan Malaysia Medical Center, Kuala Lumpur, Malaysia; Centre for Kidney Disease Research, School of Medicine, University of Queensland, Translational Research Institute, Brisbane, Australia","Conceived and designed the experiments: SS RM MS GHT BB TAO KLN AHAR. Performed the experiments: JL NBP SS RM MS GHT BB TAO KLN AHAR. Analyzed the data: JL NBP SS AHAR. Contributed reagents/materials/analysis tools: JL NBP SS RM MS GHT BB TAO KLN AHAR. Wrote the paper: JL NBP SS AHAR.","The authors have declared that no competing interests exist."
"10.1371/journal.pone.0050463","plos one","2012-11-28T00:00:00Z","Oriol Vall; Mario Gómez-Culebras; Oscar Garcia-Algar; Xavier Joya; Dinoraz Velez; Eva Rodríguez-Carrasco; Carme Puig","Unitat de Recerca Infància i Entorn (URIE), Institut Hospital del Mar d’Investigacions Mèdiques (IMIM), Barcelona, Spain; Red Samid, Retic, Instituto de Salud Carlos III, Madrid, Spain; Servei de Pediatria, Hospital del Mar, Barcelona, Spain; Universitat Autònoma de Barcelona, Barcelona, Spain; Departamento de Cirugía Pediátrica, Universidad de Tenerife, Tenerife, Spain; Instituto de Agroquímica y Tecnología de Alimentos, Consejo Superior de Investigaciones Científicas (IATA-CSIC), Valencia, Spain","Conceived and designed the experiments: OV MGC OGA. Performed the experiments: OV MGC OGA XJ DV. Analyzed the data: OV MGC OGA ERC CP. Contributed reagents/materials/analysis tools: XJ DV. Wrote the paper: OV MGC OGA XJ DV ERC CP.","The authors have declared that no competing interests exist."
"10.1371/journal.pone.0027310","plos one","2011-12-14T00:00:00Z","Patrick D Schloss; Dirk Gevers; Sarah L Westcott","Department of Microbiology & Immunology, University of Michigan, Ann Arbor, Michigan, United States of America; Microbial Systems & Communities, Genome Sequencing and Analysis Program, Broad Institute of MIT and Harvard, Cambridge, Massachusetts, United States of America","Conceived and designed the experiments: PDS DG. Performed the experiments: PDS SLW. Analyzed the data: PDS SLW DG. Contributed reagents/materials/analysis tools: PDS SLW. Wrote the paper: PDS SLW DG.","The authors have declared that no competing interests exist."
