"Source","Statistic","df1","df2","Test.Comparison","Value","Reported.Comparison","Reported.P.Value","Computed","Raw","Error","DecisionError","OneTail","OneTailedInTxt","CopyPaste","APAfactor","publication_year","publication_month","first_author","competing_interest_boolean"
"10.1371_journal.pcbi.1004555","F",7,77,"=",24.656,"<",0.001,2.74454585157734e-17,"F (7, 77) = 24.656, P < 0.001",FALSE,FALSE,FALSE,FALSE,TRUE,0.73,"2015","11","James Rankin",FALSE
"10.1371_journal.pcbi.1004555","F",7,77,"=",16.225,"<",0.001,6.22711930488232e-13,"F (7, 77) = 16.225, P < 0.001",FALSE,FALSE,FALSE,FALSE,TRUE,0.73,"2015","11","James Rankin",FALSE
"10.1371_journal.pcbi.1004555","F",7,77,"=",0.878,"=",0.463,0.52789377088288,"F (7, 77) = 0.878, P = 0.463",TRUE,FALSE,FALSE,FALSE,TRUE,0.73,"2015","11","James Rankin",FALSE
"10.1371_journal.pcbi.1004555","F",7,77,"=",24.656,"<",0.001,2.74454585157734e-17,"F (7, 77) = 24.656, P < 0.001",FALSE,FALSE,FALSE,FALSE,TRUE,0.73,"2015","11","James Rankin",FALSE
"10.1371_journal.pcbi.1004555","F",7,77,"=",16.225,"<",0.001,6.22711930488232e-13,"F (7, 77) = 16.225, P < 0.001",FALSE,FALSE,FALSE,FALSE,TRUE,0.73,"2015","11","James Rankin",FALSE
"10.1371_journal.pcbi.1004555","F",1,11,"=",3.158,"=",0.103,0.103181519080009,"F (1, 11) = 3.158, P = 0.103",FALSE,FALSE,FALSE,FALSE,FALSE,0.73,"2015","11","James Rankin",FALSE
"10.1371_journal.pcbi.1004555","F",7,77,"=",1.053,"=",0.402,0.401933795580949,"F (7, 77) = 1.053, P = 0.402",FALSE,FALSE,FALSE,FALSE,FALSE,0.73,"2015","11","James Rankin",FALSE
"10.1371_journal.pcbi.1004555","F",7,77,"=",0.878,"=",0.463,0.52789377088288,"F (7, 77) = 0.878, P = 0.463",TRUE,FALSE,FALSE,FALSE,FALSE,0.73,"2015","11","James Rankin",FALSE
"10.1371_journal.pone.0005952","t",NA,27,"=",1.84,"<",0.05,0.0767867303258754,"t (27) = -.−1.84, p <.05",TRUE,TRUE,TRUE,TRUE,FALSE,0.26,"2009","06","Susan B Perlman",FALSE
"10.1371_journal.pone.0005952","t",NA,27,"=",1.73,"<",0.05,0.0950476017219581,"t (27) = -.−1.73, p <.05",TRUE,TRUE,TRUE,TRUE,FALSE,0.26,"2009","06","Susan B Perlman",FALSE
"10.1371_journal.pone.0005952","F",7,12,"=",2.96,"<",0.005,0.0476167245023647,"F (7,12) = 2.96, p <.005",TRUE,FALSE,FALSE,TRUE,FALSE,0.26,"2009","06","Susan B Perlman",FALSE
"10.1371_journal.pone.0005952","F",1,18,"=",10.09,"<",0.005,0.00522571833303052,"F (1,18) = 10.09, p <.005",TRUE,FALSE,FALSE,TRUE,FALSE,0.26,"2009","06","Susan B Perlman",FALSE
"10.1371_journal.pone.0005952","F",6,23,"=",2.6,"<",0.05,0.045117693703851,"F (6,23) = 2.60, p <.05",FALSE,FALSE,FALSE,TRUE,FALSE,0.26,"2009","06","Susan B Perlman",FALSE
"10.1371_journal.pone.0005952","F",5,24,"=",4.15,"<",0.005,0.00738395567895843,"F (5,24) = 4.15, p <.005",TRUE,FALSE,FALSE,TRUE,FALSE,0.26,"2009","06","Susan B Perlman",FALSE
"10.1371_journal.pone.0005952","F",1,28,"=",4.96,"<",0.05,0.0341569964131575,"F (1,28) = 4.96, p <.05",FALSE,FALSE,FALSE,TRUE,FALSE,0.26,"2009","06","Susan B Perlman",FALSE
"10.1371_journal.pone.0009368","F",3.42,191.5,"=",25.71,"<",0.01,2.4414308934646e-15,"F (3.42, 191.5) = 25.71, P <0.01",FALSE,FALSE,FALSE,FALSE,FALSE,0.69,"2010","02","Yuji Takano",FALSE
"10.1371_journal.pone.0009368","F",3.22,180.4,"=",17.4,"<",0.01,1.88782484800104e-10,"F (3.22,180.4) = 17.40, P <0.01",FALSE,FALSE,FALSE,FALSE,FALSE,0.69,"2010","02","Yuji Takano",FALSE
"10.1371_journal.pone.0009368","F",3.24,181.4,"=",8.42,"<",0.01,1.64423604440172e-05,"F (3.24, 181.4) = 8.42, P <0.01",FALSE,FALSE,FALSE,FALSE,FALSE,0.69,"2010","02","Yuji Takano",FALSE
"10.1371_journal.pone.0009368","t",NA,41,"=",-2.08,"<",0.05,0.0438172383879997,"t (41) = -2.08, P <0.05",FALSE,FALSE,FALSE,FALSE,FALSE,0.69,"2010","02","Yuji Takano",FALSE
"10.1371_journal.pone.0009368","t",NA,22,"=",-2.12,"<",0.05,0.0455226244056511,"t (22) = -2.12, P <0.05",FALSE,FALSE,FALSE,FALSE,FALSE,0.69,"2010","02","Yuji Takano",FALSE
"10.1371_journal.pone.0009368","t",NA,19,"=",-2.14,"<",0.05,0.0455451062887438,"t (19) = -2.14, P <0.05",FALSE,FALSE,FALSE,FALSE,TRUE,0.69,"2010","02","Yuji Takano",FALSE
"10.1371_journal.pone.0009368","t",NA,19,"=",-2.14,"<",0.05,0.0455451062887438,"t (19) = -2.14, P <0.05",FALSE,FALSE,FALSE,FALSE,TRUE,0.69,"2010","02","Yuji Takano",FALSE
"10.1371_journal.pone.0009368","t",NA,19,"=",-2.33,"<",0.05,0.0309833262179279,"t (19) = -2.33, P <0.05",FALSE,FALSE,FALSE,FALSE,TRUE,0.69,"2010","02","Yuji Takano",FALSE
"10.1371_journal.pone.0009368","t",NA,19,"=",-2.33,"<",0.05,0.0309833262179279,"t (19) = -2.33, P <0.05",FALSE,FALSE,FALSE,FALSE,FALSE,0.69,"2010","02","Yuji Takano",FALSE
"10.1371_journal.pone.0013411","F",1,55,"=",7.75,"<",0.01,0.00734946607410332,"F (1,55) = 7.75, p <0.01",FALSE,FALSE,FALSE,FALSE,FALSE,0.95,"2010","10","Desmond J Oathes",FALSE
"10.1371_journal.pone.0013411","F",1,55,"=",53.8,"<",0.001,1.06637163427887e-09,"F (1,55) = 53.80, p <0.001",FALSE,FALSE,FALSE,FALSE,FALSE,0.95,"2010","10","Desmond J Oathes",FALSE
"10.1371_journal.pone.0013411","F",1,55,"=",27.72,"<",0.001,2.39252736096211e-06,"F (1,55) = 27.72, p <0.001",FALSE,FALSE,FALSE,FALSE,FALSE,0.95,"2010","10","Desmond J Oathes",FALSE
"10.1371_journal.pone.0013411","F",1,55,"=",7.92,"<",0.01,0.00677001179772179,"F (1,55) = 7.92, p <0.01",FALSE,FALSE,FALSE,FALSE,FALSE,0.95,"2010","10","Desmond J Oathes",FALSE
"10.1371_journal.pone.0013411","F",1,55,"=",43.82,"<",0.001,1.58127993311763e-08,"F (1,55) = 43.82, p <0.001",FALSE,FALSE,FALSE,FALSE,FALSE,0.95,"2010","10","Desmond J Oathes",FALSE
"10.1371_journal.pone.0013411","F",1,55,"=",7.64,"<",0.01,0.00775210810894651,"F (1,55) = 7.64, p <0.01",FALSE,FALSE,FALSE,FALSE,FALSE,0.95,"2010","10","Desmond J Oathes",FALSE
"10.1371_journal.pone.0013411","F",1,55,"=",14.24,"<",0.001,0.000395969491701778,"F (1,55) = 14.24, p <0.001",FALSE,FALSE,FALSE,FALSE,FALSE,0.95,"2010","10","Desmond J Oathes",FALSE
"10.1371_journal.pone.0013411","t",NA,55,"=",-3.54,"<",0.001,0.000822824125832405,"t (55) = -3.54, p <0.001",FALSE,FALSE,FALSE,FALSE,FALSE,0.95,"2010","10","Desmond J Oathes",FALSE
"10.1371_journal.pone.0013411","t",NA,55,"=",-6.5,"<",0.001,2.4797104177792e-08,"t (55) = -6.50, p <0.001",FALSE,FALSE,FALSE,FALSE,FALSE,0.95,"2010","10","Desmond J Oathes",FALSE
"10.1371_journal.pone.0013411","t",NA,55,"=",-5.45,"<",0.001,1.2218521481931e-06,"t (55) = -5.45, p <0.001",FALSE,FALSE,FALSE,FALSE,FALSE,0.95,"2010","10","Desmond J Oathes",FALSE
"10.1371_journal.pone.0013411","F",1,55,"=",6.11,"<",0.05,0.0165652323250241,"F (1,55) = 6.11, p <0.05",FALSE,FALSE,FALSE,FALSE,FALSE,0.95,"2010","10","Desmond J Oathes",FALSE
"10.1371_journal.pone.0013411","F",1,55,"=",19.57,"<",0.001,4.62818334672621e-05,"F (1,55) = 19.57, p <0.001",FALSE,FALSE,FALSE,FALSE,FALSE,0.95,"2010","10","Desmond J Oathes",FALSE
"10.1371_journal.pone.0013411","F",1,55,"=",19.77,"<",0.001,4.28522008288392e-05,"F (1,55) = 19.77, p <0.001",FALSE,FALSE,FALSE,FALSE,FALSE,0.95,"2010","10","Desmond J Oathes",FALSE
"10.1371_journal.pone.0013411","t",NA,55,"=",-4.11,"<",0.001,0.000132878622119204,"t (55) = -4.11, p <0.001",FALSE,FALSE,FALSE,FALSE,FALSE,0.95,"2010","10","Desmond J Oathes",FALSE
"10.1371_journal.pone.0013411","t",NA,55,"=",-4.63,"<",0.001,2.27622775670203e-05,"t (55) = -4.63, p <0.001",FALSE,FALSE,FALSE,FALSE,FALSE,0.95,"2010","10","Desmond J Oathes",FALSE
"10.1371_journal.pone.0013411","t",NA,55,"=",-5.31,"<",0.001,2.03274945776221e-06,"t (55) = -5.31, p <0.001",FALSE,FALSE,FALSE,FALSE,FALSE,0.95,"2010","10","Desmond J Oathes",FALSE
"10.1371_journal.pone.0013411","t",NA,55,"=",-3.1,"<",0.005,0.00304900029799877,"t (55) = -3.10, p <0.005",FALSE,FALSE,FALSE,FALSE,FALSE,0.95,"2010","10","Desmond J Oathes",FALSE
"10.1371_journal.pone.0013411","t",NA,55,"=",-3.92,"<",0.001,0.000247506914943921,"t (55) = -3.92, p <0.001",FALSE,FALSE,FALSE,FALSE,FALSE,0.95,"2010","10","Desmond J Oathes",FALSE
"10.1371_journal.pone.0013411","t",NA,55,"=",-2.34,"<",0.05,0.0229403937446139,"t (55) = -2.34, p <0.05",FALSE,FALSE,FALSE,FALSE,FALSE,0.95,"2010","10","Desmond J Oathes",FALSE
"10.1371_journal.pone.0013860","F",3,147,"=",78.16,"<",0.001,2.77706633805124e-30,"F (3, 147) = 78.16, p <.001",FALSE,FALSE,FALSE,FALSE,FALSE,0.58,"2010","11","Bethany G Ciesielski",FALSE
"10.1371_journal.pone.0013860","F",3,147,"=",276.8,"<",0.001,3.02297525400527e-60,"F (3, 147) = 276.80, p <.001",FALSE,FALSE,FALSE,FALSE,FALSE,0.58,"2010","11","Bethany G Ciesielski",FALSE
"10.1371_journal.pone.0013860","F",9,441,"=",55.97,"<",0.001,1.75874848977312e-67,"F (9, 441) = 55.97, p <.001",FALSE,FALSE,FALSE,FALSE,FALSE,0.58,"2010","11","Bethany G Ciesielski",FALSE
"10.1371_journal.pone.0013860","F",3,147,"=",175.285,"<",0.001,2.40261589776749e-48,"F (3,147) = 175.285, p <.001",FALSE,FALSE,FALSE,FALSE,FALSE,0.58,"2010","11","Bethany G Ciesielski",FALSE
"10.1371_journal.pone.0013860","F",3,147,"=",11.085,"<",0.001,1.3281701429274e-06,"F (3,147) = 11.085, p <.001",FALSE,FALSE,FALSE,FALSE,FALSE,0.58,"2010","11","Bethany G Ciesielski",FALSE
"10.1371_journal.pone.0013860","F",3,147,"=",12.392,"<",0.001,2.84850181078648e-07,"F (3,147) = 12.392, p <.001",FALSE,FALSE,FALSE,FALSE,FALSE,0.58,"2010","11","Bethany G Ciesielski",FALSE
"10.1371_journal.pone.0013860","F",3,147,"=",9.78,"<",0.001,6.35815321913902e-06,"F (3,147) = 9.780, p <.001",FALSE,FALSE,FALSE,FALSE,FALSE,0.58,"2010","11","Bethany G Ciesielski",FALSE
